rank,word,definition,level
22,at,"（表示位置）在,在（某时间或时刻）,以，达,向，朝,阿特（老挝辅币单位，100 阿特 = 1 基普）",1
23,but,"但是,而是,除了,只因为,除…以外,只,不过,只是,另一方面,借口,推辞,反对,[关系代词，意义相当于 who…not, which…not],对…说“但是”",1
24,we,"我们，咱们,笔者，本人,朕,人们",1
25,his,"(he的所有格)他的,(he的物主代词)他的东西,属于他的，用于名词前,自己的,指某人的,上帝的",1
26,from,"（表示时间）从…,（表示原因）因为,（表示来源）来自…,（表示分离）与…分离[隔开]",1
28,not,"不,[用以表示否定、否认、拒绝、禁止等]不是,几乎不,未必，没有[用于否定后面的词或短语]",1
30,by,"在…旁边,表示方式,由于,经过,表示保留或保存时用,短暂拜访",1
31,she,她，它,1
32,or,"或，或者,还是,不然，否则,左右,<古、诗>在…之前，比…更早,[纹章]黑金色、黑色",1
33,as,"同样地，一样地,例如,作为，以…的身份,如同,像，像…一样,由于,同时，当…时,尽管,阿斯（古罗马重量单位，约373克）",1
34,what,"（用以询问某人或某事物的词）什么，多少,…的事物,…的（事物或人）,（用于感叹句中）,（用以表示不相信或惊奇）,（用以表示未听清楚对方说的话）",1
35,go,"走,离开,去做,进行,变得,发出…声音,成为,处于…状态,轮到的顺序,精力,干劲,尝试",1
36,their,"他（她，它）们的,在提及性别不详的人时，用以代替 him 或 her",1
37,can,"能,能够,可以,可能,将…装入密封罐中保存,罐头,（用金属或塑料制作的）容器,（马口铁或其他金属制作的）食品罐头",1
38,who,"谁,什么人,关系代词，有先行词,孰",1
39,get,"得到,抓住,说服,受到（惩罚等）,到达，来,成为,开始,设法对付,获得利益或财富,生殖，幼兽,赢利",1
40,if,"如果，倘若,即使,〈口〉是否,假设,条件，设想",1
41,would,"将，将要,愿意,会，打算,大概,(will 的过去式，用于转述)将",1
42,her,"(she的宾格)她,(she的所有格)她的,她，指某个国家，（一艘）船",1
43,all,"全部的,一切的,各种的,极度的，尽量的,全部,一切,每个人，每件东西,全部情况,全部地,完全地,每个,非常,全体,[常作A-]整体,[常与my, your, his, her等连用]（某人）所有的一切",1
44,my,"我的(I的所有格形式),啊呀,天啊",1
45,make,"做，制造,生产，制定,使成为,使产生,开始,尝试,行进,增大,制造,生产量,性格,形状，样式",1
46,about,"关于,大约,在…周围,在附近,在四周,几乎,在附近的,四处走动的,在起作用的,在流行中的",1
47,know,"知道,了解,认识,确信,知情",1
48,will,"愿意,意志（力）,[法]遗嘱,决心要,将（财产等）遗赠某人,用意志力驱使（某事发生）,愿意， 希望， 想要,将，将会,会，要",1
50,up,"在上面，在高处,起床，起来,向上,由低到高,向上的,上升的,竖立的，垂直的,举起的,增加,加速,提高,举起，拿起,在…的上端,向高处,沿…而去,向…上游,上升，升高,兴旺，繁荣,上坡,（价格等）上涨",1
51,one,"（数字）一,一个,（基数）一，第一,一个人,一点钟,一体,独一,任何人,本人，人家,东西,某一个的,一体的,一方的",1
52,time,"时间,时刻,时代,次,为…安排时间,测定…的时间,调准（机械的）速度,拨准（钟、表）的快慢,合拍,和谐,打拍子,定时的,定期的,[美国英语]分期（付款）的,[体育]时间到，（一场或一局等的）比赛时限，暂停",1
53,there,"在那里,那里,在那一点上,表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语）,（表示满足、烦恼）你瞧，好啦，得啦",1
54,year,"年,年纪,一年的期间,某年级的学生",1
55,so,"这样,很,（表示程度）这么,同样,（表示因果关系）因此,（表示目的）为了,（引出下文）,（认为某事无关紧要，尤用于反驳他人的指责时）（口语）,如此,大约,左右,[表示同意、赞成等] 好啦，就这样吧！停下！（停住）别动！,[表示惊讶、冷淡等] 哦,真的吗,真的,事实如此的,如此的,整齐的",1
56,think,"想,思索,以为,看待,思辩,考虑,构想,回忆,深思的,供思考的,想法",1
57,when,"什么时候,（用于时间的表达方式之后）在那时,其时,当时,在…时,既然,如果,那时,时间，时候,日期,场合",1
58,which,"哪一个,哪一些,哪个,那，指前面提到的事物",1
59,them,"他们,她们,它们",1
60,some,"一些,某个,大约,相当多的,若干,其中的一部分,（数量不确切时用）有些人,非常,相当,<美>稍微",1
61,me,"（人称代词I的宾格）我,自我,自我的一部分,极端自私的人,[音乐]固定唱法时的E音",1
62,people,"人，人类,居民,人民,种族,居住于，布满,使住满人，在…殖民,把动物放养在",1
63,take,"拿，取,采取,接受（礼物等）,耗费（时间等）,拿,获得,捕获量,看法,利益，盈益,（入场券的）售得金额",1
64,out,"出局,在外，在外部,完全，彻底,出版,（表示来源）从,（从…里）出来,（表示不在原状态）脱离,离去,使熄灭,揭露,驱逐,外面的,出局的,下台的,外围的,不流行",1
65,into,"（表示方向）进入…中,（表示所属）输入,（表示状态）进入…状态,（表示时间）持续到",1
66,just,"刚才,仅仅，只是,正好,刚要,公正的，合理的,恰当的,合法的,正确的",1
67,see,"看见,领会，理解,查看,参观,主教教区,主教权限,牧座",1
68,him,(he的宾格)他,1
69,your,"你的，你们的,尊,玉,乃",1
70,come,"来,开始,出现,发生,做,装扮…的样子,将满（…岁）,嗨！",1
71,could,"“can”的过去式,能够，打算,用于假设语气的条件句,用于虚拟语气的结论句",1
72,now,"现在,其时,立刻,（改变话题或要对方做某事前，引起对方注意）喂,现在的,当今的,现任的,目前,由于,既然",1
73,than,"比（用于比较级）,宁愿…而不愿,除…以外,一…就,超过,比",1
74,like,"喜欢,（与 would 或 should 连用表示客气）想,想要,喜欢做,（表示属性）像,（表示方式）如同,（询问意见）…怎么样,（表示列举）比如,相似的,相同的,相类似的人[事物],喜好,爱好,（尤指被视为没有某人或某物那么好的）种类，类型,像…一样,如同,好像,仿佛,（非正式口语，代替 as）和…一样,如,（非正式口语，思考说下句话、解释或举例时用）大概,可能",1
75,other,"别的,其他的,（两个中的）另一个,其余的,（指两个人或事物中的第二个）那个,（指一组中其余的人或事物）其余的,（指与说话人所在位置等相反的方向或地点）另一边,[the other]对立面；对立的事物",1
76,how,"怎样,健康状况如何,到何种地步,以任何方式,方法,方式",1
77,then,"那时,然后,那么,话说回来,当时的,那时的",1
78,its,"(it的所有格形式)它的,厥",1
79,our,"我们的，we的所有格形式,<口>我们家,敝",1
80,two,"两个,两个东西,两点钟,一对,两个的,我同,第二,二",1
81,more,"更，更多,达到或处于更大的范围或程度,此外，更加,更多的,(many)的比较级,附加的，额外的,更多的或附加的人或事物,更多,附加，添加",1
82,these,"这些的,这些",1
83,want,"想要,希望,打算,需要…在场,需要的东西,缺少,贫穷",1
84,way,"道路,方法,方向,某方面,远远地，大大地",1
85,look,"看，瞧,注意,面向,寻找,看起来好像,看,（尤指吸引人的）相貌,眼神,样子,（插话或唤起注意）喂，听我说",1
86,first,"第一，最初,头等,一号，,[乐]高音部,最早，最初,首次,宁愿,优先,第一流的,最初的，最早的,基本的，概要的,高音的,第一",1
87,also,"也,同样,并且,另外",1
88,new,"新的，崭新的,新鲜的，新到的,现代的,初次（听到）的,新近，最近",1
89,because,因为,1
90,day,"一天,白天,时期,节日,日间的,逐日的,每天,经常在白天地",1
92,use,"使用,使用权,功能",1
93,no,"不,否,一点也没有,没有的,不许的,一点儿也没有,决不是的,否定，否认,反对票,否决票,数字(number),元素锘(nobelium)的符号",1
94,man,"男人,人类,男子汉,雇工,使振作,操纵,给…配置人员,在…就位,（表示惊讶、气愤等）嘿，天哪",1
95,find,"发现,找到,查明,发觉,发现物,被发现的人",1
96,here,"在这里,这时,在这一点上,（给某人东西或指出某物时说）,这里,喂,嗨",1
97,thing,"事件，形势,东西，事物,家伙,事业",1
98,give,"给予,赠送,作出,供给,产生,举办,（为购买某物或做某事而）支付,（物体）塌下,让步,伸展性，弹性",1
99,many,"许多，多的,（与复数动词连用）大多数人",1
100,well,"好,很,好意地,高高兴兴地,健康的,井的,良好的,恰当的,（用于表示惊讶，疑虑，接受等）,泉,源泉,水井,（液体）涌出,流出,涌流,涌上,涌出，喷出",1
101,only,"唯一的,仅有的,最好的，最适当的,只，仅仅,结果却，不料,但是，可是,要不是",1
102,those,"that的复数,那些的，那,那，那个( that的名词复数),（指较远的人或事物）那,（指已提到过或已知的人或事物）那,（特指）那",1
103,tell,"告诉，说,辨别,吩咐,讲述,分辨，辨别,告诉，吩咐,泄漏,保证,泄密，告发,（颜色、声音等）显示,识别,[考古学]（古代村落遗址堆积而成的）台形土墩,[方言]讲的话,谈话,传闻",1
105,very,"很，非常,恰好是，正是,十足的,特有的,充分，完全",1
107,even,"甚至,更加,即使,恰巧在…时候,公平的,平坦的,偶数的,平均的,使平坦,使相等,变平,成为相等",1
108,back,"背，背部,背面，反面,后面，后部,（椅子等的）靠背,使后退,支持,加背书于,下赌注于,后退,倒退,背部的,后面的,以前的,拖欠的,以前,向后地",1
109,any,"任何的,一点，一些,普通的,任何，随便哪一个,任何,无论哪个,若干,稍微，少许,什么，一些，一点",1
110,good,"好的,优秀的,有益的,漂亮的，健全的,好处，利益,善良,善行,好人,同well",1
111,woman,"女人，妇女,成年女子,女拥人或女下属,女人本能",1
112,through,"通过，穿过,经由,透过,凭借,从头到尾,彻底,自始至终,（电话）接通,通话完毕,有洞的,直达的",1
113,us,我们,1
114,life,"生活，生计,生命，性命,一生，寿命,人生，尘世",1
115,child,"小孩，孩子,幼稚的人,产物,弟子",1
117,work,"使工作,使运作,操作,使产生效果,工作，操作,著作,工厂,行为，事业,经营,使缓慢前进",1
118,down,"（坐、倒、躺）下,向下,（表示范围或顺序的限度）下至,（从高处）向下,（表示位置）在…的下方,（表示方向）沿着…向下,（表示时间）自…以来,向下的,沮丧的,计算机或计算机系统停机,（以…）落后于对手的,（鸟的）绒羽,绒毛,软毛,汗毛,放下,（尤指大口或快速地）喝下,使摔倒,击落（敌机等）,[常用于祈使句中]下去,下来,卧倒,下降",1
119,may,"可以,也许,会,但愿,[May]五月,山楂属植物,（五朔节装饰用的）绿枝花枝,（春天开花的）绣线菊属植物",1
120,after,"…后的,（表示时间）在…以后,（表示位置、顺序）在…后面,在…以后,以后，继后,后来的，以后的",1
122,call,"呼唤，喊叫,召唤，叫来，召集,下令，命令,打电话给,喊叫，大声喊,电话联络,必要，理由,要求",1
123,world,"世界,地球,领域,尘世",1
124,over,"（表示方向）越过,（部份或全部覆盖）在…上面,由于,（表示论及）关于,结束,再,（倒）下,从一边至另一边,过去的,外面的,在上的,上级的,额外,剩余,剩余（或多余）的量,剩余物,[电信学]报文完，请回复！,走过，跳过,[美国方言]从…恢复过来",1
125,school,"学校,上学,学院,群,训练，锻炼,教育，教导,约束,给…上学",1
126,still,"仍，仍然,更，还要,静静地,〈诗〉常，不断地,不动的，静止的,不狂暴的，温柔的,没有活力的，死气沉沉的,平静，寂静,剧照,静止摄影,蒸馏器,（使某物）平静下来，安静,〈古〉烧（酒），蒸馏,但是,然而",1
127,try,"试图，努力,实验,审判,考验,尝试，实验,[橄]触球，（因触球获得的）向球门踢球的权利",1
130,last,"末尾,最后,上个,鞋楦（做鞋的模型）,经受住,到…之后,够用,足够维持（尤指某段时间）,最近的,最后的,最不可能的,惟一剩下的,持续,上一次，最近一次",1
131,ask,"问，询问,需要,要求，请求,邀请,请求允许,要价,询问,请，邀请,要求",1
132,need,"需要,必须,不得不,需要的东西,责任,贫穷,（表示应该或不得不做）有必要",1
133,too,"也,太,很,非常",1
134,feel,"感觉,认为,触摸,试探,感觉，觉得,认为，以为,感受,触觉,觉得,摸索",1
135,three,"三,三个,第三（章，页等）,三岁,三个人[东西],三，三个,三的,三个的",1
137,state,"国家,州,状况，情况,资格,规定,陈述，声明,国家的,国务的，公务的,正式的",1
138,never,"从不，从来没有,一点也不，决不,<口>不会…吧，没有,不曾",1
139,become,"变为，成为,变得,变成,适合，适宜,相称，相当,发生",1
140,between,"在…之间,私下，暗中,在…中任择其一,来往于…之间,当中，中间",1
141,high,"高的,高尚的，崇高的,高音调的,高级的，高等的,（程度等）高地,高价地,奢侈地,高处，高位,[气象学]高气压,高压地带,高水平",1
142,really,"真，真正,实在，果真,实际上,事实上",1
143,something,"某物，某事,重要的事物[人]，有一定意义的事物,（表示不确切的描述或数量）大致，左右,非常,有点,大约",1
144,most,"最，最多（大）,much的最高级,非常，很,几乎,many的最高级,最多的，最大的,大概的,大多数的，大部分的,最大限度,大部分,大多数人",1
145,another,"又一个,再一个,另一的,其他一种,另一个，别个",1
146,much,"非常,差不多,很多地,很大程度上,许多的，大量的,很多,大量,很好的东西,（与不可数名词连用，尤用于否定句，或与 how 连用以询问数量，也可与 as、so 和 too 连用）许多",1
147,family,"家庭,家族,孩子,祖先,家庭的,一家所有的,属于家庭的,适合全家人的",1
148,own,"自己的事物,自己人,拥有,承认,自己的,特有的",1
150,leave,"离开,遗弃,忘了带,交托,离去,出发,舍弃,准假,假期,辞别,许可",1
151,put,"放,表达,给予（重视、信任、价值等）,使处于（某种状态）,使感觉到,使受到…的影响,说,猛推,将…送往,使与…连接,[方]笨蛋，怪人,对策,固定的,不动的",1
152,old,"老的,古老的,以前的,（用于指称被替代的东西）原来的,古时",1
153,while,"在…期间,与…同时,虽然,而,（一段）时间,消磨，打发（时间）,（愉快而懒散地）度过（时间）（常与 away 连用）",1
154,mean,"表示…的意思,意思是,打算,产生…结果,吝啬的,刻薄的,破旧的,残忍的,平均数,中间,几何平均,等比中数",1
156,keep,"保持,保留,遵守,阻止,（食品）保持新,保持健康,保持，保养,供养，抚养,生活，生计,饲料；牧草",1
157,student,"学生，大学生,研究者，学者,中学生,<美俚>初学者",1
158,why,"（用于问句）为什么,为何,（反问，表示不必）何必,（说明理由）为什么,呵唷，哎呀，嗨,理由,原因,说明,难解的问题",1
160,great,"伟大的，杰出的,优异的，显著的,很多的,重大的,[口语]很好地,令人满意地，成功地，顺利地,得意地,大人物们,伟大人物,重要人物，大师,名家",1
161,same,"同一的,相同的，同样的,同一事物,同样的人,（和…）同样的事物,（数目、颜色、大小、质量等）相同,同样，类似",1
162,big,"大的,重要的,（计划）庞大的,大方的,大量地,成功地,夸大地,宽宏大量地,大亨,大公司",1
163,group,"组，团体,群，批,（雕塑等的）群像,（英美的）空军大队,使成群，集合,分类，归类",1
164,begin,"开始,着手,创始,创办,（从…）开始,起始,起初是,开始讲话",1
165,seem,"好像，仿佛,似乎,装作,看来好像",1
166,country,"国家,国民,乡下,地区",1
167,help,"帮助,有助于， 有利于,治疗,避免,招待（客人）,给…盛（饭、菜）,助手,补救办法,有用,（在餐桌旁）招待，侍应，作仆人（或店员、服务员等）,[呼救语]救命！",1
168,talk,"说话,讨论,讲，说,说闲话,交谈,报告,空话",1
169,where,"哪里，在哪里,到哪里,某种情势或位置,在…的地方,地方，场所,哪里",1
170,turn,"使转动,旋转,使改变方向,使不适,使变酸,使变换,使变为,翻转,（路线或方向的）改变,机会",1
171,problem,"问题,疑难问题,习题,引起麻烦的人,成问题的,难处理的,关于社会问题的",1
172,every,"每个,每,所有可能的,充足的",1
173,start,"开始,动身,开动,起点,出发，启程,起动,提出（问题）,开办,使开始,起始,突然出现,突然跳起,突然涌出",1
174,hand,"手,协助，帮助,（工具等的）把，柄,掌管,传递，交给,搀扶,支持",1
175,might,"表示可能,表示许可,表示询问情况,力气,力量,威力,权力,可以,应该",1
176,american,"美国人，美洲人,美国英语,美国的，美洲的,地道美国式的",1
177,show,"给…看,表现出,显露出,上演,说明,指示,表明,演示,展览,显示,外观,表演,被人看见，显现，显而易见",1
178,part,"部分,零件,参加,地区,使分裂,拆移,使分开,分开,分离,分岔,不完全地，部分地,不完全的，部分的",1
180,against,"反对,对…不利,紧靠,以防",1
181,place,"位,地方,职位,座位,放置,获名次,投资,评价,得名次,名列前茅,[美国英语][赛马]得第二名,准确把…推到预定地点",1
183,such,"这样的,如此的,这么大的,非常的,这样的事物[人]",1
184,again,"再一次,再说,此外,不过",1
185,few,"很少的,很少,（与复数名词和复数动词连用）有些,几乎没有的,有些（人、事物、地方）,（与复数动词连用）少数人,不和…一般多,很少数",1
186,case,"（实）例，事例,情况，状况,诉讼（事件），案件，判例,容器（箱，盒）,把…装入箱（或盒等）内,加盖于,包围，围住,[俚语]（尤指盗窃前）探察，侦查，窥测",1
188,week,"一星期，周,工作周（一个星期中的工作时间）",1
189,company,"公司，商号,作伴，伴侣，客人,连队，中队,（社交）集会，聚会",1
191,system,"体系，系统,制度,身体,方法",1
192,each,"每,各自的,每个,各自",1
193,right,"立刻，马上,向右，右边,恰当地,一直,右方的,正确的,合适的,好的，正常的,正确，正当,右边,权利,右手,纠正,扶直，使正,整理,补偿,（船舶等）复正，恢复平稳",1
194,program,"程序,节目，节目单,计划，安排,[计]给…编写程序,为…制定计划,设计安排活动,编排",1
195,hear,"听到，听见,听说,得知,听取,审理,听,听见",1
197,question,"问题,疑问,怀疑,议题,问（某人）问题,对（某事物）表示[感到]怀疑",1
198,during,"在…的时候,在…期间，当…之时,其间",1
200,play,"比赛,游戏,戏剧,赌博,玩,演奏,演出,参加比赛,扮演,担任，充当…的角色,装扮,玩耍，游戏,[游戏] 参加游戏,闹着玩",1
201,government,"政府,政体,治理的形式,管辖，治理",1
202,run,"跑,移动,（使）流动,奔跑,行程,放映期,一系列,（工作等）进行,延续,逃跑,行驶,使奔跑,使…快速移动,运行，经营,划,融化的,浇铸的,跑的筋疲力尽的",1
203,small,"小的,难为情的,低级的，卑劣的,细微的，微弱的,小小地,卑鄙地,细小部分，腰部,琐碎东西,身份低的人,矮小的人",1
204,number,"数字,数量,号码,编号,标号,总计,把…算作",1
205,off,"从…落下,离开,从…去掉,下班,距，离,被取消,不新鲜的,不能接受,不礼貌,起跑,杀死",1
206,always,"总是，老是,永远，始终,常常,不断地",1
207,move,"移动，搬动,搬家,行动,进展,（机器等）开动,提议,使感动,摇动,变化,改变,迁移",1
209,night,"夜,晚上,（举行盛事的）夜晚",1
210,live,"生存,居住,生活，过活,在生活中得到享受,经历,度过",1
211,mr,"Mister 先生,Master 少爷,Mother 母亲,molecular radius 分子半径",1
212,point,"点,要点,得分,标点,（意思上）指向,削尖,加标点于,指路,表明,指向",1
213,believe,"信任,料想,笃信宗教,相信,以为，认为,对…信以为真",1
214,hold,"拿住，握住,保留，保存,扣留，拘押,容纳,同意，赞成,保持不变,有效,握住,保留,控制",1
215,today,"（在）今天,现在,现今,现代，当代,今天，今日",1
216,bring,"带来，引来,促使，引起,提供,导致",1
217,happen,"发生,碰巧,出现,偶然遇到",1
218,next,"紧接在后的,次于的,贴近的,紧邻的,接下去,然后,居后地,依次的,下一位,下一个,靠近,居于…之后,在…的隔壁",1
219,without,"在外部,户外,缺少,没有或不显示某事物,没有，缺乏,在外面,除非，如果不",1
220,before,"在…之前,先于，优于,当着…的面,与其…,在…以前,比…早些,先前，从前,在前，在前方",1
221,large,"大大地,夸大地,详细地,顺风地,大的,大规模的,大型号的,广泛的,玩个痛快,（尤指跳舞和饮酒）作乐",1
223,million,"百万,百万的,无数的",1
224,must,"必须,必然要,（做出逻辑推断）,（表示坚持）,必须做的事，必不可少的事物,葡萄汁,霉臭,麝香,（表示必要或很重要）必须,（提出建议）应该,得,（表示很可能或符合逻辑）一定,不可或缺的,狂暴的",1
225,home,"家,家庭,家庭生活,终点,家庭的,家用的,本地的,本部的,在家,在家乡,深深地,深入地,回家,有家,朝向,自动导航,把…送回家,送…回家,给…提供住处,使有安身之处",1
226,under,"在…下面，在表面之下,在…的假定表面或掩饰下,少于，小于,在…情况下,在下面,少于,在水下,在昏迷中,较低的，下面的",1
227,water,"水,雨水,海水,海域,给…浇水,供以水,加水稀释,流泪",1
228,room,"房间,空间,余地,房间里所有的人,租房，合住,为…提供住处,投宿，住宿,留…住宿",1
229,write,"写,写信,写作,作曲",1
230,mother,"母亲，妈妈,女修道院院长,大娘,像母亲般地照顾,养育,溺爱",1
231,area,"地区,区域，范围,面积，平地,领域",1
232,national,"国家的,国有的,国民的,民族主义的,[常用复数]全国性比赛,某国国民,全国性报刊,（机构等的）全国总部",1
233,money,"钱,财富,薪水,款项",1
234,story,"故事，传说,历史，沿革,内情,传记,用历史故事画装饰,讲…的故事,把…作为故事讲述,说谎",1
235,young,"年幼的,有朝气的,年轻人的,青年的,年轻人,幼小的动物，崽",1
236,fact,"事实，实情,实际,真相，证据,犯罪行为",1
237,month,"月，月份,一个月的时间",1
238,different,"不同的,各式各样的,个别的,不平常",1
239,lot,"份额,许多,命运,阄,（与形容词和副词连用）很，非常,（与动词连用）非常,大量，许多,分组，把…划分（常与out连用）,把（土地）划分成块,抽签，拈阄",1
241,study,"学习，研究,课题,书房,结论,考虑,沉思,默想,努力,想出,详细地检查,背诵（台词等）,为…费心思",1
242,book,"书,卷,课本,账簿,预订,登记,（向旅馆、饭店、戏院等）预约,立案（控告某人）,订立演出契约,书的,账簿上的,得之（或来自）书本的,按照（或依据）书本的",1
243,eye,"眼睛,视力,眼状物,风纪扣扣眼,定睛地看,注视,审视,细看",1
244,job,"（一件）工作,职责,职业,（作为一个单元处理的）作业,承包,代客买卖,做零工,作包工,打杂",1
245,word,"单词,话语,诺言,消息,措辞，用词,用言语表达,讲话",1
246,though,"虽然，尽管,即使,纵然,可是，但是,不过,然而,话虽这样说,但",1
247,business,"商业，交易,生意,事务，业务,职业，行业",1
248,issue,"问题,（报刊的）期，号,发行物,流出,发行,发布,造成…结果,在…上挑起争论",1
249,side,"面，边,方面,侧面,旁边,侧面的,旁边的,次要的，枝节的,副的,支持，同意,偏袒,附和,站在…一边",1
250,kind,"〈古〉方式，方法,本质，天性,同类,某类,仁慈的，体贴的,友善的，好心的,温和,宽宏大量的",1
251,four,"四,四个,第四,四的,四个一组之物",1
252,head,"上端,头脑,头部,首脑，首长,用头顶,前进,作为…的首领,站在…的前头,朝…行进,出发,向…方向移动,船驶往,头的,在前头的,首要的,在顶端的",1
253,far,"久远地,（问到或谈及距离时说）有多远,到很远距离,到很大程度,远的,遥远的,（某方向的）最远的,远端的,远方",1
254,black,"黑（色）的,黑色人种的,黑暗的,不加牛奶的,黑色,黑人,黑颜料,黑暗,使变黑,抵制,拒绝,使变黑暗",1
255,long,"长的,长时间的,冗长的，过长的,长音的,长久地,始终,遥远地,长时间，长时期,[语]长音节,（服装的）长尺寸,长裤,渴望，极想",1
256,both,"二者，两者都,二者,二者，二者都,不仅…而且…，…和…都",1
257,little,"小的,琐碎的,娇小的,幼小的,不多，略微,少许，一点,短时间地,（表示否定）微少,没有多少,短时间,（数量上）微少的，少到几乎没有的,（a little）少量的，一些",1
258,house,"房屋,全家人,（从事某种生意的）公司,（英国）下议院,给…提供住房,收藏,安置",1
259,yes,"是,（表示刚想起某事）哦,（表示不相信某人所言）真的吗,（鼓励某人继续讲）往下说,“是”，“行”,同意，答应,肯定的回答,赞成票",1
261,since,"从…以来,自从…之后,自从,以后，此后,后来,（距今几年）以前,（从那时候起几年）以前,自从…以来,自从…的时候起,既然,因为",1
263,provide,"提供，供给，供应,规定,提供(+for),装备,预备,抚养，赡养(+for),做准备,预约(for 或 against)",1
264,service,"服务，服侍,服务业,维修服务,服役,检修，维修,向…提供服务,保养,满足需要,服务性的,耐用的,服现役的",1
265,around,"大约,旋转,到处，四处,在周围,围绕,在附近,前后，左右,在…周围",1
266,friend,"朋友，友人,资助者,助手,近亲,<诗>与…为友",1
267,important,"重要的,权威的,有势力的,有地位的",1
268,father,"父亲,祖先,（尤指天主教和东正教的）神父,天父,成为父亲,创立（新思想）,创造,发明（新方法）",1
269,sit,"（使）坐,坐落,处在,（在…中）任职,（议会、委员会、法庭等）开会,使就座",1
270,away,"离开，远离,在远处,消失,不在的,遥远的,客场比赛",1
271,until,"到…为止,在…以前,到…为止，在…以前,直到…才",1
272,power,"[机]动力，功率,力量,政权，权力,强国，大国,运转,用发动机发动,使…有力量,靠动力行进,快速行进,权力的,机械能的，电动的,用电力（或动力）发动的",1
273,hour,"小时，钟头,时间，时刻,固定时间,课时",1
274,game,"游戏，运动,比赛，竞赛,诡计,猎物,受伤的，瘸的,对…有兴趣的,雄赳赳的,关于野味的,打赌，赌输赢,赌输",1
275,often,"常常,经常,时常,再三",1
276,yet,"但是,还,已经,又，再,然而，但是",1
277,line,"线条,排,行列,界线,排队,用线标出,沿…排列成行,给…安衬里,形成一层,击出平直球",1
278,political,"政治的,政党的,对政治有兴趣的",1
279,end,"<正>结果,端,终止,最后部分,结束，终止",1
280,among,"（表示牵涉）经过,（表示位置）处在…中,（表示范围）在…之内,（表示所属）为…所特有",1
281,ever,"永远,曾经，这以前,究竟，到底,可能",1
282,stand,"台，看台,立场,停止,抵抗,站立，起立,竖直放置,保持看法,停滞,使站立,忍受,抵御,承担责任,站立，（使）直立，站着",1
283,bad,"坏的，不好的,严重的,不舒服的,低劣的，有害的,坏人，坏事,不好地，非常地",1
284,lose,"失去,错过,遗失,耽搁,损失,输掉,走慢,降低价值",1
285,however,"不管到什么程度,无论如何,然而,可是,不管怎样",1
286,member,"成员,分子,身体部位（尤指胳膊或腿）,构件，部件",1
287,pay,"付款,偿还,补偿,（对…）有利,给予,支付,工资,薪水,报答,收费的,需付费的",1
288,law,"法,法学,规律,法制,[口语、方言]诉诸法律，对…起诉，控告,控告,对…起诉",1
289,meet,"相遇,相识,开会,接触（某物）,满足,支付,迎接,经历（常指不愉快的事）,运动会，体育比赛,猎狐运动（尤其英式英语）,适当的,合适的,恰当的",1
290,car,"汽车,车厢,轿车",1
291,city,"城市,全市居民,（由国王或女王授予特权，通常有大教堂的）特许市,（由政府授予特权的）特权市",1
292,almost,"几乎，差不多,将近,快要,近乎",1
293,include,"包括,包含,计入,包住",1
294,continue,"持续,逗留,维持原状,延期,使延伸,使持续,继续说",1
295,set,"放置，安置,使处于某种状况,设置,摆放餐具,落山,出发,凝结,一套，一副,集合,布景,电视机,固定的,位于…的,顽固的,安排好的",1
